Category Name,SubCategory Name,Code Name,Interested
arts,Ticket Sales,ticketsales,1
arts,Virtual Reality Centers,virtualrealitycenters,1
arts,Wineries,wineries,1
arts,Wine Tasting Room,winetastingroom,1
,,,
auto,Aircraft Dealers,aircraftdealers,
auto,Aircraft Repairs,aircraftrepairs,
auto,Auto Customization,autocustomization,
auto,Auto Detailing,auto_detailing,
auto,Auto Electric Services,autoelectric,
auto,Auto Glass Services,autoglass,
auto,Car Window Tinting,carwindowtinting,
auto,Auto Loan Providers,autoloanproviders,
auto,Auto Parts & Supplies,autopartssupplies,
auto,Motorcycle Parts & Supplies,motorcyclepartsandsupplies,
auto,Auto Repair,autorepair,
auto,DIY Auto Shop,diyautoshop,
auto,Auto Security,autosecurity,
auto,Auto Upholstery,autoupholstery,
auto,Aviation Services,aviationservices,
auto,Boat Dealers,boatdealers,
auto,Boat Parts & Supplies,boatpartsandsupplies,
auto,Body Shops,bodyshops,
auto,Car Auctions,carauctions,
auto,Car Brokers,carbrokers,
auto,Car Buyers,carbuyers,1
auto,Car Dealers,car_dealers,1
auto,Car Inspectors,autodamageassessment,
auto,Car Share Services,carshares,1
auto,Car Stereo Installation,stereo_installation,
auto,Car Wash,carwash,1
auto,Commercial Truck Dealers,truckdealers,
auto,Commercial Truck Repair,truckrepair,
auto,EV Charging Stations,evchargingstations,
auto,Fuel Docks,fueldocks,
auto,Gas Stations,servicestations,1
auto,Golf Cart Dealers,golfcartdealers,
auto,Hybrid Car Repair,hybridcarrepair,
auto,Interlock Systems,interlocksystems,
auto,Marinas,marinas,
auto,Mobile Dent Repair,mobiledentrepair,1
auto,Mobility Equipment Sales & Services,mobilityequipment,1
auto,Motorcycle Dealers,motorcycledealers,1
auto,Motorcycle Repair,motorcyclerepair,1
auto,Motorsport Vehicle Dealers,motodealers,
auto,Motorsport Vehicle Repairs,motorepairs,
auto,Oil Change Stations,oilchange,
auto,Parking,parking,1
auto,RV Dealers,rv_dealers,
auto,RV Repair,rvrepair,
auto,Registration Services,registrationservices,
auto,Roadside Assistance,roadsideassist,
auto,Service Stations,service_stations,
auto,Smog Check Stations,smog_check_stations,
auto,Tires,tires,
auto,Towing,towing,
auto,Trailer Dealers,trailerdealers,
auto,Trailer Rental,trailerrental,
auto,Trailer Repair,trailerrepair,
auto,Transmission Repair,transmissionrepair,
auto,Truck Rental,truck_rental,
auto,Used Car Dealers,usedcardealers,
auto,Vehicle Shipping,vehicleshipping,
auto,Vehicle Wraps,vehiclewraps,
auto,Wheel & Rim Repair,wheelrimrepair,
auto,Windshield Installation & Repair,windshieldinstallrepair,
,,,
beautysvc,Acne Treatment,acnetreatment,1
beautysvc,Barbers,barbers,1
beautysvc,Cosmetics & Beauty Supply,cosmetics,1
beautysvc,Day Spas,spas,1
beautysvc,Erotic Massage,eroticmassage,
beautysvc,Eyebrow Services,eyebrowservices,1
beautysvc,Eyelash Service,eyelashservice,1
beautysvc,Foot Care,footcare,1
beautysvc,Hair Extensions,hair_extensions,1
beautysvc,Hair Loss Centers,hairloss,1
beautysvc,Hair Removal,hairremoval,1
beautysvc,Laser Hair Removal,laser_hair_removal,1
beautysvc,Sugaring,sugaring,
beautysvc,Threading Services,threadingservices,
beautysvc,Waxing,waxing,1
beautysvc,Hair Salons,hair,1
beautysvc,Blow Dry/Out Services,blowoutservices,1
beautysvc,Hair Extensions,hair_extensions,1
beautysvc,Hair Stylists,hairstylists,1
beautysvc,Kids Hair Salons,kidshairsalons,1
beautysvc,Men's Hair Salons,menshair,1
beautysvc,Hot Springs,hotsprings,
beautysvc,Makeup Artists,makeupartists,1
beautysvc,Massage,massage,1
beautysvc,Medical Spas,medicalspa,1
beautysvc,Aestheticians,aestheticians,
beautysvc,Nail Salons,othersalons,1
beautysvc,Nail Technicians,nailtechnicians,
beautysvc,Perfume,perfume,1
beautysvc,Permanent Makeup,permanentmakeup,1
beautysvc,Piercing,piercing,1
beautysvc,Skin Care,skincare,1
beautysvc,Estheticians,estheticians,
beautysvc,Tanning,tanning,1
