Zip Code,Sighting Count,Latitude,Longitude
10006,91,40.70838067876106,-74.01340896327433
10306,691,40.56901049051632,-74.1168639961396
10310,336,40.63192978767402,-74.11652884115439
11206,1448,40.701594301788504,-73.94303498317416
10462,994,40.84274382025747,-73.85797920302163
11231,490,40.68021896024833,-74.00042808015117
11354,164,40.76870494466036,-73.82294816125082
11205,938,40.69311783708947,-73.96433288932616
10010,346,40.73985838174847,-73.98518763535277
10303,377,40.63025755361334,-74.15917531080915
11226,1355,40.646046904774416,-73.9551597887979
11238,2158,40.68105467790152,-73.96358340439625
11201,682,40.69268276689627,-73.99170158593196
10003,627,40.73137508881496,-73.98872869173003
11217,1432,40.68229394244346,-73.97905846962587
10474,342,40.81396929472574,-73.88724531005626
10468,1290,40.8653597105713,-73.90035934188035
10034,747,40.86545950585009,-73.9219075083181
10458,1574,40.861576308927106,-73.88878182547093
11363,20,40.772733508632136,-73.74467744878265
10457,1652,40.84797264186436,-73.89773635520513
11215,1334,40.6672892934066,-73.98389174362245
10453,1240,40.85226754328247,-73.9120863227019
10472,972,40.82976599700526,-73.86881110736545
11361,176,40.763343409404214,-73.77427686440632
10302,290,40.63085519663884,-74.13725893894991
10035,775,40.79448788386207,-73.94163894377012
11212,1046,40.66202579666283,-73.91474905655926
11207,1666,40.67230476615888,-73.89481293899647
10011,559,40.740946813935736,-73.99956262974864
11385,1619,40.70390986469733,-73.8925728272779
10007,249,40.71406530558036,-74.008324209375
10026,1218,40.80306883778773,-73.9529123828005
10027,1416,40.810459543903235,-73.95052528208565
11203,1058,40.64907970667546,-73.93401630761497
10460,1000,40.839936698928156,-73.87884828597915
10002,1299,40.717067592902254,-73.98931300324811
11208,978,40.67634748813044,-73.87458057560193
11378,415,40.7239906644307,-73.90026195424637
10037,246,40.801643459531775,-73.94593438829432
10461,356,40.84585849916695,-73.84111368668243
11222,937,40.72705833877087,-73.94887413467374
10036,533,40.759414715807566,-73.98919228631156
10473,348,40.81780070515909,-73.85689964289053
11216,2494,40.68059790139618,-73.94938860900766
10024,1269,40.78622823782121,-73.97567972305465
11377,786,40.74481792862659,-73.9043849878731
10031,1435,40.82532110151515,-73.94835972773186
10465,349,40.826516804669026,-73.81849520266942
10128,1244,40.78173167953303,-73.95113397317436
11225,971,40.662396161106116,-73.95304538635342
10014,616,40.7339400852695,-74.0049281663542
10305,424,40.59846330747177,-74.07597227732886
10013,661,40.719191422291026,-74.0024013619883
10025,2285,40.797785940813846,-73.96760372924385
11213,1448,40.670874276991306,-73.9375160474475
10029,1079,40.79203124928952,-73.94450499165187
10309,267,40.53465064540219,-74.2128915219543
10033,977,40.84933884846975,-73.93524650206406
11230,436,40.62149383128472,-73.9656117324074
11249,319,40.71275260065759,-73.96218031240019
10467,1803,40.87440563428177,-73.868129245025
11237,1369,40.701321578443846,-73.91828097534388
10464,52,40.84860753446026,-73.78764487212337
10019,451,40.763325252286776,-73.98609382393902
10451,826,40.82048298601485,-73.92001971497525
10470,188,40.89815445066148,-73.86148370101166
10455,809,40.81546215791913,-73.90884682493682
11433,564,40.69725255730584,-73.78691616843645
11223,409,40.59899270932288,-73.97317069678117
11419,292,40.68820407554002,-73.82344240819567
11355,238,40.75043973059731,-73.81995921510914
11372,416,40.75144299046136,-73.88320118262101
10304,441,40.609764608331616,-74.08806073175077
11210,397,40.62743073269694,-73.94568648530368
10456,1770,40.82971079382851,-73.90859048429819
10454,527,40.807687452372264,-73.91827539388686
10030,739,40.81809961179698,-73.94311532722908
10038,331,40.709129117629175,-74.00433050162108
10466,577,40.89116112822348,-73.84737092034993
10459,1063,40.825951822087546,-73.89411979612795
